Long_name,units,description,CF_Standard_Name,Variable_Name,frequency,dimensions
Nitrogen Loss to Sediments and Through Denitrification,mol m-2 s-1,"""Content"" indicates a quantity per unit area.  The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity  named by omitting the phrase. 'Denitrification' is the conversion of nitrate into gaseous compounds such as nitric oxide, nitrous oxide and molecular nitrogen which are then emitted to the atmosphere.  'Sedimentation' is the sinking of particulate matter to the floor of a body of water. ""tendency_of_X"" means derivative of X with respect to time.",minus_tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation,frn,mon,longitude latitude time
Surface Downward Net Flux of Iron,mol m-2 s-1,"Iron supply through deposition flux onto sea surface, runoff, coasts, sediments, etc",tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,fsfe,mon,longitude latitude time depth0m
Iron Loss to Sediments,mol m-2 s-1,"""Content"" indicates a quantity per unit area.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ""tendency_of_X"" means derivative of X with respect to time.",minus_tendency_of_ocean_mole_content_of_iron_due_to_sedimentation,frfe,mon,longitude latitude time
Oxygen Minimum Concentration,mol m-3,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The concentration of any chemical species, whether particulate or dissolved, may vary with depth in the ocean.  A depth profile may go through one or more local minima in concentration. The mole_concentration_of_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile is the mole concentration of oxygen at the local minimum in the concentration profile that occurs closest to the sea surface.",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile,o2min,mon,longitude latitude time
Depth of Oxygen Minimum Concentration,m,"Depth of vertical minimum concentration of dissolved oxygen gas (if two, then the shallower)",depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,zo2min,mon,longitude latitude time
Calcite Saturation Depth,m,"Depth of calcite saturation horizon (0 if undersaturated at all depths, and missing saturated through whole depth; if two or more horizons exist, then the shallowest is reported)",minimum_depth_of_calcite_undersaturation_in_sea_water,zsatcalc,mon,longitude latitude time
Aragonite Saturation Depth,m,"Depth of aragonite saturation horizon (0 if undersaturated at all depths, ""missing"" if supersaturated at all depths; if multiple horizons exist, the shallowest should be taken).",minimum_depth_of_aragonite_undersaturation_in_sea_water,zsatarag,mon,longitude latitude time
Rate of Change of Net Dissolved Inorganic Carbon,mol m-2 s-1,"""Content"" indicates a quantity per unit area.  ""tendency_of_X"" means derivative of X with respect to time. ""Dissolved inorganic carbon"" describes a family of chemical species in solution, including carbon dioxide, carbonic acid and the carbonate and bicarbonate anions. ""Dissolved inorganic carbon"" is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.",tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,fddtdic,mon,longitude latitude time olayer100m
Rate of Change of Net Dissolved Inorganic Nitrogen,mol m-2 s-1,Net time rate of change of nitrogen nutrients (e.g. NO3+NH4),tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,fddtdin,mon,longitude latitude time olayer100m
Rate of Change of Net Dissolved Inorganic Phosphorus,mol m-2 s-1,vertical integral of net  time rate of change of phosphate,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,fddtdip,mon,longitude latitude time olayer100m
Rate of Change of Net Dissolved Inorganic Iron,mol m-2 s-1,vertical integral of net time rate of change of dissolved inorganic iron,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron,fddtdife,mon,longitude latitude time olayer100m
Rate of Change of Net Dissolved Inorganic Silicon,mol m-2 s-1,vertical integral of net time rate of change of dissolved inorganic silicate,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon,fddtdisi,mon,longitude latitude time olayer100m
Rate of Change of Total Alkalinity,mol m-2 s-1,vertical integral of net time rate of change of alkalinity,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent,fddtalk,mon,longitude latitude time olayer100m
Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of dissolved inorganic carbon,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes,fbddtdic,mon,longitude latitude time olayer100m
Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of nitrogen nutrients (e.g. NO3+NH4),tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes,fbddtdin,mon,longitude latitude time olayer100m
Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of phosphate,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus_due_to_biological_processes,fbddtdip,mon,longitude latitude time olayer100m
Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of dissolved inorganic iron,tendency_of_ocean_mole_content_of_dissolved_inorganic_iron_due_to_biological_processes,fbddtdife,mon,longitude latitude time olayer100m
Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of dissolved inorganic silicate,tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon_due_to_biological_processes,fbddtdisi,mon,longitude latitude time olayer100m
Rate of Change of Biological Alkalinity Due to Biological Activity,mol m-2 s-1,vertical integral of net biological terms in time rate of change of alkalinity,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes,fbddtalk,mon,longitude latitude time olayer100m
Dissolved Inorganic Carbon Concentration,mol m-3,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,dissic,mon,longitude latitude olevel time
Natural Dissolved Inorganic Carbon Concentration,mol m-3,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration at preindustrial atmospheric xCO2,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,dissicnat,mon,longitude latitude olevel time
Abiotic Dissolved Inorganic Carbon Concentration,mol m-3,Abiotic Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,dissicabio,mon,longitude latitude olevel time
Abiotic Dissolved Inorganic Carbon-14 Concentration,mol m-3,Abiotic Dissolved inorganic carbon-14 (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,dissi14cabio,mon,longitude latitude olevel time
Dissolved Inorganic Carbon-13 Concentration,mol m-3,Dissolved inorganic carbon-13 (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,dissi13c,mon,longitude latitude olevel time
Dissolved Organic Carbon Concentration,mol m-3,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),mole_concentration_of_dissolved_organic_carbon_in_sea_water,dissoc,mon,longitude latitude olevel time
Phytoplankton Carbon Concentration,mol m-3,"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""",mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,phyc,mon,longitude latitude olevel time
Zooplankton Carbon Concentration,mol m-3,sum of zooplankton carbon component concentrations,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,zooc,mon,longitude latitude olevel time
Bacterial Carbon Concentration,mol m-3,Sum of bacterial carbon component concentrations,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,bacc,mon,longitude latitude olevel time
Detrital Organic Carbon Concentration,mol m-3,Sum of detrital organic carbon component concentrations,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,detoc,mon,longitude latitude olevel time
Calcite Concentration,mol m-3,"Sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)",mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,calc,mon,longitude latitude olevel time
Aragonite Concentration,mol m-3,"Sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)",mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,arag,mon,longitude latitude olevel time
Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mol m-3,carbon from the diatom phytoplankton component concentration alone,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,phydiat,mon,longitude latitude olevel time
Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,carbon concentration from the diazotrophic phytoplankton component alone,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,phydiaz,mon,longitude latitude olevel time
Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from calcareous (calcite-producing) phytoplankton component alone,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,phycalc,mon,longitude latitude olevel time
Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from the picophytoplankton (<2 um) component alone,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,phypico,mon,longitude latitude olevel time
Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from additional phytoplankton component alone,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,phymisc,mon,longitude latitude olevel time
Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mol m-3,carbon  concentration from the microzooplankton (<20 um) component alone,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,zmicro,mon,longitude latitude olevel time
Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mol m-3,carbon  concentration from mesozooplankton (20-200 um) component alone,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,zmeso,mon,longitude latitude olevel time
Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,mol m-3,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,zmisc,mon,longitude latitude olevel time
Total Alkalinity,mol m-3,"total alkalinity equivalent concentration (including carbonate, nitrogen, silicate, and borate components)",sea_water_alkalinity_expressed_as_mole_equivalent,talk,mon,longitude latitude olevel time
Natural Total Alkalinity,mol m-3,"total alkalinity equivalent concentration (including carbonate, borate, phosphorus, silicon, and nitrogen components) at preindustrial atmospheric xCO2",sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,talknat,mon,longitude latitude olevel time
pH,1,negative log of hydrogen ion concentration with the concentration expressed as mol H kg-1.,sea_water_ph_reported_on_total_scale,ph,mon,longitude latitude olevel time
Natural pH,1,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,sea_water_ph_natural_analogue_reported_on_total_scale,phnat,mon,longitude latitude olevel time
Abiotic pH,1,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1 (abiotic component)..,sea_water_ph_abiotic_analogue_reported_on_total_scale,phabio,mon,longitude latitude olevel time
Dissolved Oxygen Concentration,mol m-3,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'.",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,o2,mon,longitude latitude olevel time
Dissolved Oxygen Concentration at Saturation,mol m-3,"""Mole concentration at saturation"" means the mole concentration in a saturated solution. Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"".",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,o2sat,mon,longitude latitude olevel time
Dissolved Nitrate Concentration,mol m-3,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.",mole_concentration_of_nitrate_in_sea_water,no3,mon,longitude latitude olevel time
Dissolved Ammonium Concentration,mol m-3,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.",mole_concentration_of_ammonium_in_sea_water,nh4,mon,longitude latitude olevel time
Total Dissolved Inorganic Phosphorus Concentration,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Dissolved inorganic phosphorus"" means the sum of all inorganic phosphorus in solution (including phosphate, hydrogen phosphate, dihydrogen phosphate, and phosphoric acid).",mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,po4,mon,longitude latitude olevel time
Dissolved Iron Concentration,mol m-3,"Dissolved iron in sea water,  including both Fe2+ and Fe3+ ions (but not particulate detrital iron)",mole_concentration_of_dissolved_iron_in_sea_water,dfe,mon,longitude latitude olevel time
Total Dissolved Inorganic Silicon Concentration,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Dissolved inorganic silicon"" means the sum of all inorganic silicon in solution (including silicic acid and its first dissociated anion SiO(OH)3-).",mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,si,mon,longitude latitude olevel time
Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,"Sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration",mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,chl,mon,longitude latitude olevel time
Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,kg m-3,Chlorophyll from diatom phytoplankton component concentration alone,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,chldiat,mon,longitude latitude olevel time
Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,kg m-3,Chlorophyll concentration from the diazotrophic phytoplankton component alone,mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water,chldiaz,mon,longitude latitude olevel time
Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll concentration from the calcite-producing phytoplankton component alone,mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlcalc,mon,longitude latitude olevel time
Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll concentration from the picophytoplankton (<2 um) component alone,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,chlpico,mon,longitude latitude olevel time
Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,Chlorophyll from additional phytoplankton component concentrations alone,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlmisc,mon,longitude latitude olevel time
Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mol m-3,sum of particulate organic nitrogen component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,pon,mon,longitude latitude olevel time
Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mol m-3,sum of particulate organic phosphorus component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,pop,mon,longitude latitude olevel time
Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mol m-3,Sum of particulate organic iron component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,bfe,mon,longitude latitude olevel time
Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mol m-3,Sum of particulate silica component concentrations,mole_concentration_of_particulate_matter_expressed_as_silicon_in_sea_water,bsi,mon,longitude latitude olevel time
Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mol m-3,sum of phytoplankton nitrogen component concentrations,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,phyn,mon,longitude latitude olevel time
Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mol m-3,sum of phytoplankton phosphorus components,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,phyp,mon,longitude latitude olevel time
Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mol m-3,sum of phytoplankton iron component concentrations,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,phyfe,mon,longitude latitude olevel time
Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mol m-3,sum of phytoplankton silica component concentrations,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,physi,mon,longitude latitude olevel time
Carbonate Ion Concentration,mol m-3,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,co3,mon,longitude latitude olevel time
Natural Carbonate Ion Concentration,mol m-3,"Surface mole concentration (number of moles per unit volume: molarity) of the natural-analogue carbonate anion (CO3). A natural analogue is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. ",mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,co3nat,mon,longitude latitude olevel time
Abiotic Carbonate Ion Concentration,mol m-3,Mole concentration (number of moles per unit volume: molarity) of the abiotic-analogue carbonate anion (CO3). An abiotic analogue is used to simulate the effect on a modelled variable when biological effects on ocean carbon concentration and alkalinity are ignored. ,mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,co3abio,mon,longitude latitude olevel time
Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mol m-3,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure calcite. Aragonite  (CaCO3) is a mineral that is a polymorph of calcium carbonate.,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,co3satcalc,mon,longitude latitude olevel time
Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mol m-3,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite  (CaCO3) is a mineral that is a polymorph of calcium carbonate.,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,co3satarag,mon,longitude latitude olevel time
Primary Carbon Production by Phytoplankton,mol m-3 s-1,total primary (organic carbon) production by phytoplankton,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,pp,mon,longitude latitude olevel time
Primary Carbon Production by Phytoplankton,mol m-3 s-1,total primary (organic carbon) production by phytoplankton,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production,ppos,mon,longitude latitude time depth0m
